collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,14388607,Muca Hornbop,"What's up. My name is Muca Hornbop. Can you guess what it's short for? Pursuing a career in being a Back-end Developurr has been exhausting, so I'm switching paths to be become a Security Guard. What do you want from me?",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1831960,https://lh3.googleusercontent.com/f8q9fvmFgi0AZPrlhs5y8s2wkjhKsB0tN_v4L-KyjrvrttYoIfHumi_n7zF2zs64a2U3aR9jXl_0Jk9c4y7fGaJa,4585513452,2022-03-30T18:38:30.485806,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.007
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,332262,,Good morning! Kitty #91931 here. I'm here to enjoy spinning sick beats and riding unicorns. I once made a rhino grimace. Purrhaps this is the beginning of a beautiful relationship.,2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/91931,https://openseauserdata.com/0x06012c8cf97bead5deae237070f9587f8e7a266d/91931-1554213291.png,4582774140,2022-03-30T15:38:18.422053,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.05
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,594503,"Limited Ducat #8899/10,000","Guten tag! I'm Limited Ducat #8899/10,000. I work as a Back-End Developer / Personal Trainer and I love living the dream. When I'm not swiping right, I'm swiping right! I feel like we know each other so well already!",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/564257,https://openseauserdata.com/0x06012c8cf97bead5deae237070f9587f8e7a266d/564257-1555902231.png,4574332611,2022-03-30T06:23:04.585430,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.05
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,3300410,Panda Elfinmuffin,"Hello darkness, my old friend! I'm Panda Elfinmuffin. Roses are Pantone 18-3838 ultra violet, violets are vermillion, I'm weird. I was once roommates with a surly troll. It was infuriating. Come, I'll show you my collection of ranch dressing.",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1491278,https://lh3.googleusercontent.com/Fy37vNXm7NGtCx0hmb1neuuin_SZWuXbt67MAhIEiHpK65sFaOMkKnyPep7zhBS2N5TtrJVvTHPEQqnB2d6xMeU,4572528815,2022-03-30T04:53:58.598502,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.011
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,782928,Gen 0-NOT COMING BACK TO EARTH,"Greetings. My name is Gen 0-NOT COMING BACK TO EARTH. Being my friend means many days filled with cutting my own bangs. I really don't understand why everyone thinks I got my Achilles tendon done, but it's not true. I'm all natural. I’m not a photographer, but I can picture me and you together.",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/697012,https://lh3.googleusercontent.com/moSaRKEcTZ8uuVRAjr-xQVA5iIYMe2zNMDNf6e_gUUcjvLU6eYbRt6W1BfdQWWzeYVD_G_818elvMC_4TN167XvbIw,4568771945,2022-03-30T01:52:37.612046,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.149
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,726183,R1 Dori,你好喵！. 我的名字超酷，叫 R1 Dori！我是一名专业的厨师 ，最爱就是 新疆羊肉串！ 老实说，本喵真的可以为了 为了和周杰伦PK饶舌 而放弃所有喵星粮食。 一起畅玩喵趴吧！,2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/658809,https://lh3.googleusercontent.com/C7XbLnHsJV19F-SZnywiVThKOr_WZu-L05ndNJw5V-OmSiouhOJ_p4N2whYCh2pXroldb6W5yBtYNnz0PibTvjmE0OfaD57XQa0,4565591400,2022-03-29T23:10:05.319784,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.03
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,2116597,Kaka Whamway,"Salutations! I'm Kaka Whamway, and I'm as cute as it gets. Just ask my mom! Want to go shopping? We can get our claws painted. If you can prove the earth speaks to me through my feet then I'll eat my jean jackets right here, right now.",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1148926,https://lh3.googleusercontent.com/yUk60rKUIicmf4We5z2Z7x9dX62dJ3UyjyfiF-qKdSH4DTpL0tNPxJjkuw8OUB-o3NqhacE-VDe9-0OsZie0imJ-ZKK162Kk4XTG8g,4564680246,2022-03-29T22:28:31.600809,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.15
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,3490922,Biscuit Dilliplum,"RAWR XD. My name is Biscuit Dilliplum. As a young kitten, I was always applying for credit, but I think I've grown out of that. I'm a cat, but I've always felt more like I belong in the patagonian mara family. You're going to need a lot of wine for this relationship to be tolerable.",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1513393,https://lh3.googleusercontent.com/0LoTz4VImthOiK7xafOOjd3zNSnJCAo0-X8crepZX2KbLI3xJVcywdxtg9mQKOKgtGhJtxNL76xJ_Kn00W_yKczVyt_tkIZ1GdbR,4557801991,2022-03-29T15:36:41.067260,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.08
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,25873380,🧬 Gen 1 H1 Gene Swap,"Hark! I'm 🧬 Gen 1 H1 Gene Swap. I'll know I've made it when I sleep every night on a mattress made entirely of ricotta. I eat in my sleep, I hope that's not going to be a problem.",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1998483,https://lh3.googleusercontent.com/Tk9IB8el_GqxJlrNHqxbP5y_0qlav7zyQvUZdAof2Kga4MyGQmP53eg7EHoi_319Bnq1BiHhqJMM6TjuTK1AgMVR4Yu3ZWZYRrfG8jc,4557765019,2022-03-29T15:35:03.652278,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.088
cryptokitties,CryptoKitties,https://opensea.io/collection/cryptokitties,2687689,Tally the Purrocious #141,"I might appear to be a simple talisman, but if you take me into the realm of the Citadel you can reveal my true power: they call me Tally the Purrocious #141! No god can control me, but all will try. And if they succeed in collecting every talisman, who knows what power they could wield?",2018-01-23T04:51:38.832339,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1332921,https://lh3.googleusercontent.com/AhPZWdgJHfFX8NDf9U5cKXrvaPrDIvHRsubW-IgIrPLDzCJvsgDOlbeTu31FJ7orh5hFQgllOysjroz0y2jlKEiS,4542635383,2022-03-29T03:52:33.120485,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.015
