collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32454151,Pudgy Penguin #4491,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/4491,https://lh3.googleusercontent.com/YeoU_X8gaVM_Xl1lMzZNjUEBG7lt-dchLDS-NUlh8rWMdLOOdarW5zASkFczX5KeI8DNGkodKWxHekwNhLcMXakcX-s6orKro4Gf4MY,4589689629,2022-03-30T22:57:05.324892,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.969
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32457315,Pudgy Penguin #7320,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/7320,https://lh3.googleusercontent.com/yPs50TejmwQkcN79neJE0hQwto3Xw_gZg4cFJNjp43u7RSaAKtZ1FXJ0KvdDmngDlqr_p8oINpuD2GJTgtUfoh7JPyv6XUmplXlHA-U,4589182766,2022-03-30T22:23:10.352795,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.067
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32457639,Pudgy Penguin #7657,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/7657,https://lh3.googleusercontent.com/bpsaXE5OM5KIF8kl8YxMVmMLxJKMpCxNLdXyZ2lgPBbOnDSniLsn0U2W7DH0U_by0D2QoDR_3rgooEjlM3I8kgibPXAJn8YJgCUXWA,4589179750,2022-03-30T22:22:59.307925,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.99
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32450889,Pudgy Penguin #1647,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/1647,https://lh3.googleusercontent.com/lhW49G2S8INn5rxEzM5DoCxHKGYm3_hZBuw9dGl9ZYx0UCT4LLHV19rwFXgrvzgwqZUxxeKilJUmP3ehJmpj6FDvTpDnSy3XtAP8Og,4588180400,2022-03-30T21:21:41.789185,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.23
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32456781,Pudgy Penguin #6830,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/6830,https://lh3.googleusercontent.com/_U3iEVx0_bEmgAmxm4g6nn6X-SNuX_21Lx2_X-TTvBEG9gCn_Y8vfuNIjpinv2_Y_wnTsoq4hXQq61xmnBtdw-psLlaAWqvakh4soQY,4588053767,2022-03-30T21:14:20.444873,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.094
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32451396,Pudgy Penguin #2095,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/2095,https://lh3.googleusercontent.com/crSaujrFBwCRrMOQirW5WhHto9_srROemcphaHNz8c4_n1UszGYki69TeD9AWfA5gcwBS5THsCYpc6uGr5gQf_fZL08g1jlzpEfxew,4587940326,2022-03-30T21:07:03.018329,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.2
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32454474,Pudgy Penguin #4663,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/4663,https://lh3.googleusercontent.com/1cM0AK-XsEWjQW4InK8aqN-2ZnyarlCvJrkndFGD1_wjWucVil1lNqjp6ru7bOewmZRUoiwfifp4jZSOnTIOSz0J929ZCfEXUNVG7Ag,4587846694,2022-03-30T21:01:00.060690,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.06
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32452123,Pudgy Penguin #2704,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/2704,https://lh3.googleusercontent.com/DqfUrH_gzauJZbG65vNFkvs4EhlxWf1Ekpx_yUWVHH6fzHlTNLlnJwYNbXCDu-g1U10LKZ0ztzWrkTw0u4Z5pMIphksSi5WIM1uE,4587812748,2022-03-30T20:58:47.716542,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.08
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32452664,Pudgy Penguin #3165,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/3165,https://lh3.googleusercontent.com/QlsStUHw3CZcW--pgXa__3ZWDS4eP-fBpQiP9DMz44pEa2v-dj6qAI9eiyR7tBsBFclCitoIWrXwJmbwZ-sMoCjZGeTMjn0TrB1spA,4587532724,2022-03-30T20:40:32.836305,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,3.4862035667238507
pudgypenguins,Pudgy Penguins,https://opensea.io/collection/pudgypenguins,32458041,Pudgy Penguin #7912,A collection 8888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.,2021-07-22T12:26:11.045175,https://opensea.io/assets/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/7912,https://lh3.googleusercontent.com/Cfo-Ie3PZU-IWWCB_xFdVQA7Fe9T9r44bGpaKi1JGDWC1mKunD4x_QIMaG5GKoW1QNJe8ZZ84BmEtjNHtyCIKT17NYHhqyV-VDgx,4587415594,2022-03-30T20:32:50.178368,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,5.9
